capacity,n_reviewed,precision,recall,lift
0.01,65,0.9076923076923077,0.05310531053105311,5.323603129543724
0.05,326,0.7638036809815951,0.22412241224122412,4.479698276576124
0.1,652,0.656441717791411,0.3852385238523852,3.8500218119971503
