label,n,observed_rate,mean_predicted,bias,brier,brier_reliability,brier_resolution,ece_quantile,ece_uniform,mce_quantile,calibration_intercept,calibration_slope,model,calibrator,evaluation
raw,6516.0,0.17050337630448129,0.14020741384124397,-0.03029596246323732,0.1112321893955146,0.0017567216483263058,0.030657697269123072,0.030295962463237326,0.030489598358431035,0.09263848259113916,0.31782762631504313,1.0167845630693961,scorecard_woe_lr,raw,out_of_time
isotonic,6516.0,0.17050337630448129,0.13758384235340573,-0.03291953395107555,0.11170599854381849,0.001669344147260832,0.030353068417771082,0.03291953395107557,0.03464950323242939,0.07367393962323954,0.24939555987958922,0.9490301470006616,scorecard_woe_lr,isotonic,out_of_time
platt,6516.0,0.17050337630448129,0.1356063885321453,-0.03489698777233599,0.11192100663427147,0.0024504919096578503,0.030657697269123072,0.034982342800810105,0.03491205288839921,0.11447043011387414,0.41482095815733594,1.0502500917355733,scorecard_woe_lr,platt,out_of_time
isotonic,2389.0,0.10213478442863122,0.10213480410213478,1.967350356235631e-08,0.07472940843916508,2.4666285558948726e-15,0.014176451771032928,2.2185014661183474e-08,2.2185014655920488e-08,1.1709601873549635e-07,0.0003572945607187017,1.0003351825848308,scorecard_woe_lr,isotonic,in_period
platt,2389.0,0.10213478442863122,0.10213484205691799,5.762828676758591e-08,0.07634867920886905,0.00018999741628740393,0.013732717671321386,0.008895424092448895,0.010018016787966093,0.033709548670275535,0.00015809293896951182,1.000241322021248,scorecard_woe_lr,platt,in_period
raw,2389.0,0.10213478442863122,0.10521737334165053,0.00308258891301931,0.07635197892674062,0.0001943686120729878,0.013732717671321386,0.008629654321028855,0.008625859693618104,0.037978072751064434,-0.09210701740571409,0.9682892467191984,scorecard_woe_lr,raw,in_period
platt,6516.0,0.17050337630448129,0.13956467076705173,-0.030938705537429556,0.10577200821615025,0.0016735682748179725,0.03478443132101235,0.030938705537429556,0.031066299125069894,0.0898243426351667,0.3289899868697551,1.0110308192664503,logistic_l2,platt,out_of_time
raw,6516.0,0.17050337630448129,0.14213387961496388,-0.02836949668951741,0.10585043938528,0.0017288625467108156,0.03478443132101235,0.02887044090046469,0.02856548391630327,0.10022596608966572,0.36924696535850493,1.0623418139656449,logistic_l2,raw,out_of_time
isotonic,6516.0,0.17050337630448129,0.14149975785519314,-0.029003618449288143,0.10647351662545439,0.0015796016418205738,0.03510658379230193,0.02900361844928813,0.0323396376230377,0.09033937403722864,0.017121867050090594,0.8155773460796503,logistic_l2,isotonic,out_of_time
isotonic,2389.0,0.10213478442863122,0.1021348740058602,8.95772289816188e-08,0.07026150484404939,5.403487261992341e-14,0.01851075176559456,9.794893261866195e-08,9.7948932616086e-08,5.743589743590662e-07,1.2388887698867868e-05,1.0001368054157243,logistic_l2,isotonic,in_period
platt,2389.0,0.10213478442863122,0.10213751037229653,2.7259436653076508e-06,0.0721887678646946,0.00044396341477026476,0.01766204054720248,0.01568813453612653,0.00990410270549086,0.04540749131279878,7.66814115105291e-05,1.000094437474262,logistic_l2,platt,in_period
raw,2389.0,0.10213478442863122,0.10517375720386189,0.0030389727752306722,0.07231000164320393,0.0005492176723383152,0.01766204054720248,0.01742458848438519,0.010551267618157062,0.049546862176800044,0.03951998879197917,1.0504565645528168,logistic_l2,raw,in_period
raw,6516.0,0.17050337630448129,0.14499516190767198,-0.02550821439680931,0.10415441971244449,0.0012408923198045504,0.036259021440975335,0.025508214396809288,0.025508214396809288,0.08855193567109465,0.3047064533351582,1.0346681440861365,lightgbm,raw,out_of_time
platt,6516.0,0.17050337630448129,0.1423163663043862,-0.028187010000095075,0.10460915925105352,0.001678112114025851,0.036259021440975335,0.028187010000095065,0.028187010000095075,0.10549716583365099,0.37656900799895965,1.0664453099775069,lightgbm,platt,out_of_time
isotonic,6516.0,0.17050337630448129,0.14538849154904737,-0.025114884755433914,0.1060192763151643,0.0014911118368717818,0.03688627821289192,0.0251148847554339,0.03160535569857493,0.10686005744356969,-0.17607519770259866,0.726013003427924,lightgbm,isotonic,out_of_time
isotonic,2389.0,0.10213478442863122,0.10213480452071996,2.009208874276247e-08,0.07224404024805624,5.440993957520087e-15,0.01623688387825676,3.013813311177725e-08,3.013813312157927e-08,2.0547945205539805e-07,0.00038025762003697115,1.000387434900161,lightgbm,isotonic,in_period
platt,2389.0,0.10213478442863122,0.10213538507966069,6.006510294698231e-07,0.07384469217191628,0.00012004605238696809,0.014849472206633183,0.0072224370936659005,0.005919705003462105,0.025166760738463967,-0.00010644753525159215,0.9999325300245803,lightgbm,platt,in_period
raw,2389.0,0.10213478442863122,0.10358823568053468,0.0014534512519034648,0.07388321721797403,0.00018347042876711966,0.014849472206633183,0.008441110354173715,0.006747452253988907,0.03236691225783356,-0.0674551666686388,0.9701667060649121,lightgbm,raw,in_period
