lambda,approval_rate,net_cost,profit_per_application,bad_rate_approved,demographic_parity_difference,adverse_impact_ratio,equal_opportunity_difference,max_group_ece
0.0,0.5977593615715162,-2506563.0,384.6781767955801,0.05263157894736842,0.15931670021607042,0.7553976824868638,0.13619839995551564,0.02710552713637173
0.05,0.5977593615715162,-2510886.0,385.34162062615104,0.05237483953786906,0.15106518257822987,0.7670741837251892,0.12622355506605976,0.02710552713637173
0.1,0.5977593615715162,-2495976.0,383.0534069981584,0.05237483953786906,0.1435012914102094,0.7778657532751769,0.11768528751450957,0.02710552713637173
0.15000000000000002,0.5977593615715162,-2505882.0,384.573664825046,0.052118100128369704,0.1352497737723688,0.7897357039663929,0.10771044262505369,0.02710552713637173
0.2,0.5977593615715162,-2498385.0,383.4231123388582,0.052118100128369704,0.12768588260434832,0.8007068053901817,0.09917217507350329,0.02710552713637173
0.25,0.5977593615715162,-2499636.0,383.61510128913443,0.052118100128369704,0.11943436496650772,0.812775053106145,0.088926254011643,0.02710552713637173
0.30000000000000004,0.5976058931860037,-2515674.0,386.07642725598527,0.05213148433487417,0.11163925992565482,0.8242301422721307,0.0801169102876883,0.02710552713637173
0.35000000000000003,0.5977593615715162,-2520381.0,386.798802946593,0.052118100128369704,0.10361895616064665,0.836201759724124,0.07270354566369752,0.02710552713637173
0.4,0.5977593615715162,-2502660.0,384.0791896869245,0.05237483953786906,0.09536743852280616,0.8485814347976738,0.06304037518458772,0.02710552713637173
0.45,0.5977593615715162,-2513343.0,385.71869244935544,0.052118100128369704,0.08780354735478557,0.8600256755217665,0.05391935705028683,0.02710552713637173
0.5,0.5977593615715162,-2492421.0,382.50782688766117,0.052118100128369704,0.07955202971694497,0.8726166129115931,0.04538108949873654,0.02710552713637173
0.55,0.5976058931860037,-2505498.0,384.5147329650092,0.05213148433487417,0.07175692467609207,0.8845858314525481,0.037425572529936946,0.02710552713637173
0.6000000000000001,0.5977593615715162,-2497494.0,383.2863720073665,0.05237483953786906,0.06373662091108401,0.8970646432261246,0.028033478223231545,0.02710552713637173
0.65,0.5977593615715162,-2517657.0,386.3807550644567,0.05263157894736842,0.05548510327324341,0.9099875950274652,0.019224134499276846,0.02710552713637173
0.7000000000000001,0.5977593615715162,-2486694.0,381.6289134438306,0.05365853658536585,0.04792121210522282,0.9219362552334882,0.013016869278728804,0.02710552713637173
0.75,0.5977593615715162,-2482833.0,381.0363720073665,0.05391527599486521,0.03966969446738233,0.9350845900221609,0.003353698799619109,0.02710552713637173
0.8,0.5977593615715162,-2484132.0,381.23572744014734,0.05417201540436457,0.03210580329936186,0.9472425534689437,0.0037479914140255977,0.02710552713637173
0.8500000000000001,0.5977593615715162,-2482767.0,381.02624309392263,0.05417201540436457,0.023854285661521257,0.9606222192801224,0.013140085720730887,0.02710552713637173
0.9,0.5976058931860037,-2469708.0,379.0220994475138,0.054699537750385205,0.016059180620668356,0.9733681149599729,0.020783928279184516,0.02710552713637173
0.9500000000000001,0.5977593615715162,-2491311.0,382.3374769797422,0.05417201540436457,0.008038876855660182,0.986612190065179,0.030216620823831475,0.02710552713637173
1.0,0.5977593615715162,-2465535.0,378.38167587476977,0.055198973042362,0.0002126407821804177,0.9996443542337731,0.0372777127995344,0.02710552713637173
