regime,method,auc_population,pr_auc_population,brier_population,ece_population,mean_pd_population,true_rate_population,bias_population,mean_pd_approved,true_rate_approved,bias_approved,brier_approved,auc_approved,mean_pd_reject,true_rate_reject,bias_reject,brier_reject,auc_reject,bias_removed_share,brier_improvement_reject
MAR,baseline_approved_only,0.8677991754961063,0.7288134810124911,0.12271040129964109,0.03322735671789243,0.22977241343033417,0.26221053696025887,-0.0324381235299247,0.14745683156956454,0.17050337630448129,-0.02304654473491674,0.10314334902165129,0.8406795721200242,0.3887905964735524,0.43937147939519716,-0.050580882921644754,0.1605102568120578,0.8491130299001378,0.0,0.0
MAR,fuzzy_augmentation,0.8654040631490991,0.7232591389311673,0.12919593767518683,0.06095668518523859,0.3230529137601851,0.26221053696025887,0.06084237679992621,0.21003881826371776,0.17050337630448129,0.03953544195923647,0.10746928364252728,0.8379041974502722,0.541374836753064,0.43937147939519716,0.10200335735786681,0.17116773657136525,0.8468803502063542,-2.67918852223511,-0.010657479759307448
MAR,parcelling,0.863628343600517,0.7195464549897674,0.13064936538117475,0.06334069715404564,0.3220285152593958,0.26221053696025887,0.05981797829913693,0.20836427778557606,0.17050337630448129,0.03786090148109478,0.10862167788542117,0.8356337391370958,0.541606389964231,0.43937147939519716,0.10223491056903389,0.1732027041663305,0.8442498060633828,-2.6912527939849062,-0.01269244735427269
MAR,heckman_two_step,0.8575849558697167,0.7132766415877914,0.13051515409585818,0.055632789667974,0.20657774729228484,0.26221053696025887,-0.055632789667974025,0.12832759170617522,0.17050337630448129,-0.042175784598306065,0.10891930161588038,0.829047511596673,0.35774229333411434,0.43937147939519716,-0.08162918606108283,0.17223426905569666,0.8354928630611227,-1.6176634500393416,-0.011724012243638865
MAR,oracle_full_information,0.8692345937273767,0.7309070722815902,0.12136549311938352,0.024468015302252958,0.23824307587030316,0.26221053696025887,-0.023967461089955705,0.15037693181591047,0.17050337630448129,-0.020126444488570816,0.10281767429280082,0.8425020670429672,0.407983898478789,0.43937147939519716,-0.03138758091640814,0.15719638178644943,0.8513514188595598,1.0,0.0033138750256083704
MNAR,baseline_approved_only,0.8524080668108125,0.686986107905357,0.1335891955394279,0.0605507797906596,0.19619914436749594,0.2567499241581555,-0.060550779790659565,0.1383765667822117,0.15145038167938932,-0.013073814897177627,0.09921663479330231,0.8298518409964132,0.30962768081062614,0.46331236897274636,-0.15368468816212022,0.20101665073173777,0.8173711792409271,0.0,0.0
MNAR,fuzzy_augmentation,0.8533711649291461,0.6900796234315838,0.12907233680761285,0.03309310832102522,0.28948650444861257,0.2567499241581555,0.03273658029045706,0.20432821077347543,0.15145038167938932,0.052877829094086115,0.10533363034837738,0.8286500713879442,0.45653856302068446,0.46331236897274636,-0.006773805952061895,0.17563973043085113,0.8165404382907009,2.1127236040808643,0.025376920300886646
MNAR,parcelling,0.853136566166443,0.6887295784946016,0.13087092111790688,0.043149433115035996,0.2982585318169477,0.2567499241581555,0.04150860765879222,0.20955396019353345,0.15145038167938932,0.05810357851414413,0.10765984796608086,0.8280938040487991,0.4722672003205007,0.46331236897274636,0.008954831347754322,0.1764032748598836,0.8167092558177118,2.0813583044838566,0.024613375871854165
MNAR,heckman_two_step,0.84578346502051,0.6805485498884647,0.13590981382255246,0.06012731698225622,0.19662260717589933,0.2567499241581555,-0.06012731698225618,0.1349801691290321,0.15145038167938932,-0.016470212550357216,0.10154635689829894,0.8185220881844246,0.3175444308377682,0.46331236897274636,-0.14576793813497818,0.20331941036458917,0.8062256152460985,0.11385068551991624,-0.0023027596328513977
MNAR,oracle_full_information,0.8551690231035306,0.6965138113411335,0.12627305738923228,0.017369916337322485,0.2395128242961641,0.2567499241581555,-0.0172370998619914,0.16832273981716106,0.15145038167938932,0.016872358137771742,0.09915253861202648,0.8299951247257656,0.37916393341190835,0.46331236897274636,-0.08414843556083801,0.1794744344454461,0.8216298538646228,1.0,0.02154221628629166
