group,n,mean_pd_true,mean_pd_predicted,model_excess,true_pd_gap_vs_lowest,predicted_pd_gap_vs_lowest,model_excess_gap_vs_lowest
A,4325,0.1535137931928311,0.12214810903394159,-0.031365684158889504,0.0,0.0,0.0
B,2191,0.20128614553371357,0.1900948897392028,-0.011191255794510774,0.04777235234088248,0.06794678070526121,0.02017442836437873
