lgd,margin_rate,cost_ratio,threshold,approval_rate,bad_rate_approved,net_cost,profit_per_application
0.45,0.05,9.0,0.1,0.5788827501534684,0.050106044538706256,-1299240.0,199.39226519337018
0.45,0.07,6.428571428571428,0.13461538461538464,0.6614487415592388,0.058932714617169375,-2388899.0000000005,366.62047268262745
0.45,0.09,5.0,0.16666666666666666,0.7168508287292817,0.06936416184971098,-3497463.0,536.75
0.45,0.12,3.75,0.21052631578947367,0.7733271945979129,0.07957928160349276,-5341263.0,819.7150092081031
0.6,0.05,12.0,0.07692307692307693,0.5076734192756293,0.044135429262394194,-1028055.0,157.77394106813998
0.6,0.07,8.57142857142857,0.10447761194029852,0.5902394106813996,0.051742069682787314,-1889379.0000000005,289.9599447513813
0.6,0.09,6.666666666666667,0.13043478260869565,0.6531614487415592,0.05827067669172932,-2995254.0,459.6767955801105
0.6,0.12,5.0,0.16666666666666666,0.7168508287292817,0.06936416184971098,-4663284.0,715.6666666666666
0.75,0.05,15.0,0.0625,0.45012277470841006,0.037504261847937266,-900820.0,138.24739103744628
0.75,0.07,10.714285714285712,0.0853658536585366,0.5356046654389196,0.04785100286532951,-1509711.0000000005,231.6929097605894
0.75,0.09,8.333333333333334,0.10714285714285714,0.5977593615715162,0.05263157894736842,-2506563.0,384.6781767955801
0.75,0.12,6.25,0.13793103448275862,0.6694290976058932,0.05983493810178817,-4142502.0,635.743093922652
0.9,0.05,18.0,0.05263157894736842,0.40791896869244937,0.0327313769751693,-815350.0,125.1304481276857
0.9,0.07,12.857142857142856,0.07216494845360825,0.4909453652547575,0.04220068771491091,-1352643.0000000005,207.5879373848988
0.9,0.09,10.0,0.09090909090909091,0.5537139349294046,0.048226164079822616,-2135241.0,327.69198895027625
0.9,0.12,7.5,0.11764705882352941,0.6246163290362186,0.05405405405405406,-3752286.0,575.8572744014733
