regime,method,uplift,bias_reject,abs_bias_reject,brier_reject,auc_population,band,n_approved,n_rejected,bad_rate_approved,bad_rate_rejected,uplift_assumed
MAR,fuzzy_augmentation,1.0,-0.05510892735349571,0.05510892735349571,0.16123720820095205,0.8679998782146264,,,,,,
MAR,parcelling,1.0,-0.07939211877966534,0.07939211877966534,0.16861843510380856,0.8677570474827639,,,,,,
MAR,fuzzy_augmentation,1.5,0.029602011672908934,0.029602011672908934,0.1574574150465574,0.8679846550429293,,,,,,
MAR,parcelling,1.5,0.010101094878083694,0.010101094878083694,0.15896905628791186,0.8646841868458266,,,,,,
MAR,fuzzy_augmentation,2.0,0.07409501672735941,0.07409501672735941,0.16402008830860124,0.866569851523332,,,,,,
MAR,parcelling,2.0,0.09365765212756849,0.09365765212756849,0.1705502402884054,0.8648643805691436,,,,,,
MAR,fuzzy_augmentation,2.5,0.10200335735786681,0.10200335735786681,0.17116773657136525,0.8654040631490991,,,,,,
MAR,parcelling,2.5,0.10223491056903389,0.10223491056903389,0.1732027041663305,0.863628343600517,,,,,,
MAR,fuzzy_augmentation,3.0,0.12117186871452112,0.12117186871452112,0.17657426532222398,0.86486110335857,,,,,,
MAR,parcelling,3.0,0.11484255220363981,0.11484255220363981,0.17615684533263073,0.8637763995169181,,,,,,
MAR,fuzzy_augmentation,4.0,0.14635020126239984,0.14635020126239984,0.18554189362001827,0.8637086352595721,,,,,,
MAR,parcelling,4.0,0.13613735915913572,0.13613735915913572,0.18351339965171207,0.8621833051704657,,,,,,
MAR,measured_truth,0.0,,,,,0.0,1948.0,64.0,0.002566735112936345,0.0,
MAR,measured_truth,0.0,,,,,1.0,1868.0,143.0,0.005888650963597431,0.0,
MAR,measured_truth,1.0089635854341736,,,,,2.0,1801.0,210.0,0.018878400888395337,0.01904761904761905,
MAR,measured_truth,1.311020840692335,,,,,3.0,1713.0,298.0,0.03327495621716287,0.0436241610738255,
MAR,measured_truth,1.8144610281923716,,,,,4.0,1609.0,402.0,0.04661280298321939,0.0845771144278607,
MAR,measured_truth,1.077077940753523,,,,,5.0,1498.0,513.0,0.0814419225634179,0.08771929824561403,
MAR,measured_truth,1.144811221997348,,,,,6.0,1367.0,644.0,0.1302121433796635,0.14906832298136646,
MAR,measured_truth,1.2121176050470182,,,,,7.0,1198.0,813.0,0.20701168614357263,0.25092250922509224,
MAR,measured_truth,0.9788014510670205,,,,,8.0,947.0,1064.0,0.3917634635691658,0.38345864661654133,
MAR,measured_truth,1.0048111557064938,,,,,9.0,535.0,1476.0,0.7383177570093458,0.741869918699187,
MNAR,fuzzy_augmentation,1.0,-0.15638823065692797,0.15638823065692797,0.20179863905726245,0.8533658599319998,,,,,,
MNAR,parcelling,1.0,-0.16814569704091487,0.16814569704091487,0.20778653867469044,0.8509607135489091,,,,,,
MNAR,fuzzy_augmentation,1.5,-0.08338835742054945,0.08338835742054945,0.18144176859463615,0.8536904293028751,,,,,,
MNAR,parcelling,1.5,-0.09283591043236922,0.09283591043236922,0.18354141626622,0.852600064838854,,,,,,
MNAR,fuzzy_augmentation,2.0,-0.03660110699767177,0.03660110699767177,0.17584879689283217,0.8540047637802659,,,,,,
MNAR,parcelling,2.0,-0.018404451526009113,0.018404451526009113,0.17574868566988727,0.8529462828849538,,,,,,
MNAR,fuzzy_augmentation,2.5,-0.006773805952061895,0.006773805952061895,0.17563973043085113,0.8533711649291461,,,,,,
MNAR,parcelling,2.5,0.008954831347754322,0.008954831347754322,0.1764032748598836,0.853136566166443,,,,,,
MNAR,fuzzy_augmentation,3.0,0.01575140575374584,0.01575140575374584,0.17612038477998646,0.8536490074564682,,,,,,
MNAR,parcelling,3.0,0.017797576872775944,0.017797576872775944,0.1769012712928293,0.8527592683390803,,,,,,
MNAR,fuzzy_augmentation,4.0,0.04523051517506488,0.04523051517506488,0.17875659026967017,0.8530383969263168,,,,,,
MNAR,parcelling,4.0,0.036760932028648996,0.036760932028648996,0.17810087191064725,0.8521463536182492,,,,,,
MNAR,measured_truth,0.0,,,,,0.0,1893.0,119.0,0.003169572107765452,0.0,
MNAR,measured_truth,4.313144670722031,,,,,1.0,1812.0,199.0,0.010485651214128035,0.04522613065326633,
MNAR,measured_truth,3.663604240282686,,,,,2.0,1728.0,283.0,0.011574074074074073,0.04240282685512368,
MNAR,measured_truth,2.29133183327976,,,,,3.0,1645.0,366.0,0.03100303951367781,0.07103825136612021,
MNAR,measured_truth,2.759461009174312,,,,,4.0,1575.0,436.0,0.045714285714285714,0.12614678899082568,
MNAR,measured_truth,2.042920564452196,,,,,5.0,1481.0,530.0,0.08035111411208642,0.1641509433962264,
MNAR,measured_truth,1.9408705846758945,,,,,6.0,1333.0,678.0,0.11702925731432859,0.22713864306784662,
MNAR,measured_truth,1.812351342167856,,,,,7.0,1255.0,756.0,0.17370517928286852,0.3148148148148148,
MNAR,measured_truth,1.5345651792160153,,,,,8.0,1044.0,967.0,0.3045977011494253,0.4674250258531541,
MNAR,measured_truth,1.189496261086314,,,,,9.0,684.0,1327.0,0.6271929824561403,0.746043707611153,
