attribute,n_groups,demographic_parity_difference,adverse_impact_ratio,equal_opportunity_difference,equalised_odds_difference,max_group_ece,max_group_calibration_bias,calibration_bias_spread,lowest_approval_group,highest_approval_group,worst_calibrated_group,flag_adverse_impact,flag_equal_opportunity,flag_subgroup_calibration
group,2.0,0.15931670021607042,0.7553976824868638,0.13619839995551564,0.13619839995551564,0.02710552713637173,0.026701093829943706,0.0017971797424979757,B,A,B,True,True,False
age_band,5.0,0.43447713513392755,0.4507702517614832,0.3691183795450772,0.3691183795450772,0.069373540958304,0.04423339979843276,0.03764355506512254,<25,55+,<25,True,True,True
